SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
539985,TITAANIUM   ,M ,Q,13.50,13.50,13.01,13.06,13.01,15.08,3,24000,316880.00,,INE120V01014,13-Nov-17,,
539986,COMSYN      ,M ,Q,43.50,43.50,43.50,43.50,43.50,44.90,1,3000,130500.00,,INE073V01015,13-Nov-17,,
539992,LLOYDSTEEL  ,B ,Q,1.64,1.81,1.60,1.81,1.81,1.51,249,785118,1392644.00,,INE093R01011,13-Nov-17,,
539997,KPL         ,MT,Q,61.90,61.90,61.90,61.90,61.90,61.00,1,3000,185700.00,,INE552U01010,13-Nov-17,,
540005,LTI         ,A ,Q,945.00,975.00,914.10,964.70,964.70,944.75,2492,34118,32287896.00,XD,INE214T01019,13-Nov-17,,
540006,BULL        ,XD,Q,32.00,32.00,32.00,32.00,32.00,32.00,2,800,25600.00,,INE595R01015,13-Nov-17,,
540023,MIENT       ,XC,Q,47.40,47.40,45.00,45.00,45.00,45.30,27,3990,180890.00,,INE621I01018,13-Nov-17,,
540024,ASHARI      ,XD,Q,38.80,38.80,37.20,37.20,37.20,39.15,3,5100,189880.00,,INE361S01010,13-Nov-17,,
540025,ADVENZYMES  ,A ,Q,267.50,271.25,266.20,267.65,269.00,267.30,496,15668,4201415.00,,INE837H01020,13-Nov-17,,
540027,PTIL        ,M ,Q,176.00,180.00,153.80,166.95,175.00,170.00,16,25500,4407450.00,,INE171P01019,13-Nov-17,,
540047,DBL         ,A ,Q,867.30,882.30,867.30,872.45,872.45,871.10,1242,33079,28950593.00,,INE917M01012,13-Nov-17,,
540048,SPAL        ,B ,Q,380.40,384.80,373.85,379.45,384.70,381.65,67,1624,619877.00,,INE212I01016,13-Nov-17,,
540061,BIGBLOC     ,B ,Q,102.00,106.00,102.00,102.65,102.50,100.45,352,32723,3391138.00,,INE412U01017,13-Nov-17,,
540063,ECS         ,XD,Q,28.00,28.00,26.10,26.10,26.10,27.45,78,34628,912638.00,,INE925Q01024,13-Nov-17,,
540064,FRETAIL     ,A ,Q,470.00,492.00,466.00,473.35,490.00,483.70,1102,32676,15432412.00,,INE752P01024,13-Nov-17,,
540065,RBLBANK     ,A ,Q,511.00,515.50,509.00,510.50,510.85,509.50,722,45733,23403854.00,,INE976G01028,13-Nov-17,,
540071,CAMSONSEEDS ,XT,Q,19.65,19.70,17.90,19.30,19.30,18.80,60,49879,951429.00,,INE494T01017,13-Nov-17,,
540072,SHIVAEXPO   ,M ,Q,25.60,25.60,25.50,25.50,25.50,26.45,2,20000,511000.00,,INE191V01015,13-Nov-17,,
540073,BLS         ,B ,Q,256.15,257.25,244.05,246.20,246.20,256.05,538,29036,7230607.00,,INE153T01027,13-Nov-17,,
540078,MITSU       ,M ,Q,170.00,172.00,170.00,172.00,172.00,172.50,2,2400,410400.00,,INE317V01016,13-Nov-17,,
540080,NARAYANI    ,M ,Q,36.00,38.00,36.00,38.00,38.00,37.00,2,8000,296000.00,,INE715T01015,13-Nov-17,,
